Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,27142.470703,31958.410156,26746.630859,31352.580078,31352.580078,70738275600
2007-11-01,31783.470703,31897.490234,25861.730469,28643.609375,28643.609375,58226884000
2007-12-01,28825.029297,29962.929688,26093.960938,27812.650391,27812.650391,37276186700
2008-01-01,27632.199219,27853.599609,21709.630859,23455.740234,23455.740234,67551142900
2008-02-01,23791.919922,25101.410156,22569.529297,24331.669922,24331.669922,42277898300
2008-03-01,23491.570313,23923.199219,20572.919922,22849.199219,22849.199219,49431243000
2008-04-01,23084.929688,26066.500000,22700.500000,25755.349609,25755.349609,49570719500
2008-05-01,25755.349609,26387.369141,24100.310547,24533.119141,24533.119141,39377318100
2008-06-01,24542.289063,24923.279297,21773.669922,22102.009766,22102.009766,37367240700
2008-07-01,21785.390625,23369.050781,20988.740234,22731.099609,22731.099609,45166203800
2008-08-01,22497.900391,22881.269531,20350.480469,21261.890625,21261.890625,34887932400
2008-09-01,20999.320313,21066.580078,16283.719727,18016.210938,18016.210938,61954082600
2008-10-01,17870.429688,18285.679688,10676.290039,13968.669922,13968.669922,78306657800
2008-11-01,14436.030273,15317.830078,11814.809570,13888.240234,13888.240234,50543207200
2008-12-01,13775.280273,15781.049805,13344.599609,14387.480469,14387.480469,41205046800
2009-01-01,14448.219727,15763.549805,12439.129883,13278.209961,13278.209961,59107008200
2009-02-01,13194.000000,13976.309570,12634.839844,12811.570313,12811.570313,41357422900
2009-03-01,12522.610352,14257.559570,11344.580078,13576.019531,13576.019531,59481962700
2009-04-01,13746.179688,15977.129883,13411.790039,15520.990234,15520.990234,54216144800
2009-05-01,15520.990234,18227.789063,15520.990234,18171.000000,18171.000000,55849174000
2009-06-01,18499.919922,19161.970703,17375.960938,18378.730469,18378.730469,62118154500
2009-07-01,18780.960938,20712.660156,17185.960938,20573.330078,20573.330078,44833145700
2009-08-01,20582.679688,21196.750000,19592.070313,19724.189453,19724.189453,42499845500
2009-09-01,19961.740234,21929.789063,19425.859375,20955.250000,20955.250000,37954352000
2009-10-01,20955.250000,22620.009766,20305.060547,21752.869141,21752.869141,34975284700
2009-11-01,21194.119141,23099.570313,21002.490234,21821.500000,21821.500000,34640499200
2009-12-01,21813.419922,22593.720703,20932.769531,21872.500000,21872.500000,30251542100
2010-01-01,21860.039063,22671.919922,19916.339844,20121.990234,20121.990234,41887011100
2010-02-01,19987.669922,20780.500000,19423.050781,20608.699219,20608.699219,27348510700
2010-03-01,20853.080078,21450.980469,20575.779297,21239.349609,21239.349609,37845285900
2010-04-01,21390.890625,22388.769531,20763.339844,21108.589844,21108.589844,33790538400
2010-05-01,20799.789063,21011.949219,18971.519531,19765.189453,19765.189453,34352466100
2010-06-01,19600.570313,20957.089844,19211.669922,20128.990234,20128.990234,27951182900
2010-07-01,20128.990234,21199.550781,19777.830078,21029.810547,21029.810547,26999816400
2010-08-01,21221.429688,21805.939453,20372.289063,20536.490234,20536.490234,26611366300
2010-09-01,20570.519531,22439.189453,20529.869141,22358.169922,22358.169922,31119089000
2010-10-01,22542.359375,23866.869141,22504.050781,23096.320313,23096.320313,42846828500
2010-11-01,23366.820313,24988.570313,22782.980469,23007.990234,23007.990234,41076370400
2010-12-01,22973.800781,23612.250000,22392.669922,23035.449219,23035.449219,27124790900
2011-01-01,23135.640625,24434.400391,23057.519531,23447.339844,23447.339844,29144694200
2011-02-01,23451.619141,23981.740234,22446.669922,23338.019531,23338.019531,29113771100
2011-03-01,23317.960938,23934.070313,22123.259766,23527.519531,23527.519531,41521313700
2011-04-01,23664.480469,24468.640625,23468.199219,23720.810547,23720.810547,27687155400
2011-05-01,23720.810547,23924.480469,22519.660156,23684.130859,23684.130859,24935123900
2011-06-01,23686.769531,23706.000000,21508.769531,22398.099609,22398.099609,34974818600
2011-07-01,22813.250000,22835.029297,21611.160156,22440.250000,22440.250000,38694993300
2011-08-01,22739.550781,22808.330078,18868.109375,20534.849609,20534.849609,56729214400
2011-09-01,20790.220703,20975.300781,16999.539063,17592.410156,17592.410156,45434530100
2011-10-01,17179.199219,20272.380859,16170.349609,19864.869141,19864.869141,44230263000
2011-11-01,19461.080078,20173.140625,17613.199219,17989.349609,17989.349609,43161858200
2011-12-01,19033.960938,19242.800781,17821.519531,18434.390625,18434.390625,29663289300
2012-01-01,18770.640625,20590.800781,18302.839844,20390.490234,20390.490234,32840360700
2012-02-01,20394.669922,21760.339844,20269.509766,21680.080078,21680.080078,34569578200
2012-03-01,21578.189453,21641.140625,20374.029297,20555.580078,20555.580078,36002725500
2012-04-01,20662.970703,21105.570313,20035.679688,21094.210938,21094.210938,27752732600
2012-05-01,21245.480469,21385.300781,18378.140625,18629.519531,18629.519531,44756588000
2012-06-01,18498.910156,19578.820313,18056.400391,19441.460938,19441.460938,32618072800
2012-07-01,19441.460938,19869.109375,18710.589844,19796.810547,19796.810547,29677791200
2012-08-01,19646.960938,20300.029297,19450.769531,19482.570313,19482.570313,28688847200
2012-09-01,19414.619141,20895.609375,19076.789063,20840.380859,20840.380859,33308504500
2012-10-01,20840.380859,21847.699219,20767.359375,21641.820313,21641.820313,31925165400
2012-11-01,21573.929688,22149.699219,21098.410156,22030.390625,22030.390625,29884962700
2012-12-01,22070.439453,22718.830078,21687.880859,22656.919922,22656.919922,29324098700
2013-01-01,22860.250000,23916.160156,22860.250000,23729.529297,23729.529297,36737630400
2013-02-01,23763.339844,23944.740234,22445.339844,23020.269531,23020.269531,29040943000
2013-03-01,22957.089844,23262.019531,21975.900391,22299.630859,22299.630859,36448798500
2013-04-01,22299.630859,22862.689453,21423.250000,22737.009766,22737.009766,31954683500
2013-05-01,22737.009766,23512.419922,22290.720703,22392.160156,22392.160156,34131693700
2013-06-01,22301.679688,22564.179688,19426.359375,20803.289063,20803.289063,43148726200
2013-07-01,20803.289063,22070.140625,20119.560547,21883.660156,21883.660156,33308641600
2013-08-01,22025.750000,22695.990234,21465.720703,21731.369141,21731.369141,31016927300
2013-09-01,21948.720703,23554.339844,21948.720703,22859.859375,22859.859375,36578097600
2013-10-01,22997.210938,23534.669922,22640.179688,23206.369141,23206.369141,28707389800
2013-11-01,23208.800781,24014.810547,22463.400391,23881.289063,23881.289063,33822297200
2013-12-01,23936.150391,24111.550781,22713.699219,23306.390625,23306.390625,27164907400
2014-01-01,23452.759766,23469.330078,21746.230469,22035.419922,22035.419922,35121934700
2014-02-01,21561.699219,22986.699219,21197.779297,22836.960938,22836.960938,32344157800
2014-03-01,22630.769531,22839.429688,21137.609375,22151.060547,22151.060547,36242166400
2014-04-01,22292.320313,23224.539063,22096.949219,22133.970703,22133.970703,32007331400
2014-05-01,22194.660156,23209.259766,21680.330078,23081.650391,23081.650391,27871344900
2014-06-01,23327.509766,23397.769531,22802.099609,23190.720703,23190.720703,28091330000
2014-07-01,23326.529297,24912.220703,23126.679688,24756.849609,24756.849609,31713818500
2014-08-01,24594.230469,25243.160156,24190.929688,24742.060547,24742.060547,28096857700
2014-09-01,24703.740234,25362.980469,22855.039063,22932.980469,22932.980469,35257327100
2014-10-01,22691.589844,24046.400391,22565.599609,23998.060547,23998.060547,32384709800
2014-11-01,24133.449219,24313.060547,23252.630859,23987.449219,23987.449219,37102592000
2014-12-01,23678.000000,24189.589844,22529.750000,23605.039063,23605.039063,53307609500
2015-01-01,23699.199219,24995.080078,23312.500000,24507.050781,24507.050781,39442104700
2015-02-01,24347.269531,25101.960938,24226.289063,24823.289063,24823.289063,24655757500
2015-03-01,24996.759766,25113.199219,23677.060547,24900.890625,24900.890625,36587953000
2015-04-01,24955.199219,28588.519531,24926.109375,28133.000000,28133.000000,58920380800
2015-05-01,28289.140625,28524.599609,27191.029297,27424.189453,27424.189453,36888421300
2015-06-01,27373.060547,27854.740234,25617.779297,26250.029297,26250.029297,44649024000
2015-07-01,26459.429688,26459.429688,22836.820313,24636.279297,24636.279297,46504063100
2015-08-01,24533.140625,24924.070313,20865.259766,21670.580078,21670.580078,41879353100
2015-09-01,21692.779297,22228.589844,20368.119141,20846.300781,20846.300781,40309679200
2015-10-01,21172.939453,23423.640625,21130.109375,22640.039063,22640.039063,34315908200
2015-11-01,22502.279297,23342.070313,21907.349609,21996.419922,21996.419922,34484662600
2015-12-01,22197.810547,22563.470703,21010.259766,21914.400391,21914.400391,29502918600
2016-01-01,21782.619141,21794.839844,18534.300781,19683.109375,19683.109375,40565390400
2016-02-01,19770.960938,19770.960938,18278.800781,19111.929688,19111.929688,28652196000
2016-03-01,19259.990234,20872.550781,19108.300781,20776.699219,20776.699219,34067509300
2016-04-01,20786.179688,21654.070313,20045.470703,21067.050781,21067.050781,32340640800
2016-05-01,21061.769531,21061.769531,19594.609375,20815.089844,20815.089844,32345943100
2016-06-01,20726.529297,21352.369141,19662.699219,20794.369141,20794.369141,39021655300
2016-07-01,20967.470703,22300.509766,20304.390625,21891.369141,21891.369141,31713817500
2016-08-01,22027.650391,23193.900391,21725.380859,22976.880859,22976.880859,38561200800
2016-09-01,22897.160156,24364.000000,22843.419922,23297.150391,23297.150391,39728207400
2016-10-01,23652.830078,24064.500000,22775.289063,22934.539063,22934.539063,26308577200
2016-11-01,23015.060547,23268.050781,21957.710938,22789.769531,22789.769531,34929744700
2016-12-01,22948.650391,23076.240234,21488.820313,22000.560547,22000.560547,35336630000
